,title,employer,location,rating,description,salary_estimate,easy_apply,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,company_size,company_type,company_sector,company_founded,company_industry,company_revenue
305,Junior QA Engineer לחברה ישראלית יציבה ורווחית,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: צוות הQA שלנו מתרחב ונשמח לצרף QA Engineer לביצוע בדיקות ידניות, עבודה עם Cloud ופרוטוקלי תקשורת. החברה עוסקת ב-Infrastructure Automation at Scale על מנת לייעל תהליכי DevOps בחברות וארגונים. עד כה מושקעת בלמעלה מ-114M דולר עם מעל 200 לקוחות משלמים. מונים 120 עובדים וצומחים! דרישות המשרה: נסיון של שנה בבדיקות ידניות Client/Server",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
306,CPU Verification Engineer -,Apple,Herzliya,4.2 ,"Summary Posted: Feb 6, 2023 Weekly Hours: 42 Role Number:200458942 In this visible role, you will be responsible for defining DV methodologies, test-bench infrastructure ramp-up and project execution of multiple all new CPU cores for Apple product lines. You will develop verification test plans, tools, test benches, protocol monitors, and high-coverage stimulus vectors. Apply advanced techniques to achieve verification with the highest quality, productivity, and time-to-market. You will work closely with the design team to ensure timely delivery of quality designs. Applying advanced methods to accelerate verification time. Involvement in Post Silicon Validation.",-1,0,3.8,4.3,4.2,3.7,3.6,10000+ Employees,Company - Public,Information Technology,1976,Computer Hardware Development,$10+ billion (USD)
307,Junior QA Engineer,Unleash Labs,Tel Aviv-Yafo,3.7 ,"Unleash is powering the productivity revolution by providing users with a centralized way to search through their cloud based apps and local desktop. A light weight search interface allows users to enter their search query and receive relevant ranked results which are yielded in seconds. As a user centric company, we place a great deal of emphasis on users experience when building our product and have fun doing it!  We are a fresh and energetic startup, post round A in funding ($12M), led by a strong team of second timer founders and top angel investors and VCs from the Sillicon Valley and Tel Aviv. Our expanding team is made up of enthusiastic and dedicated members working together to revolutionize the productivity world. We believe that collaboration across teams - where everyone is accessible, from our newest hires to the founders - combined with a vested interest in our teams well being are the keys to our successful working environment.",-1,0,3.5,3.7,3.7,3.4,3.5,51 to 200 Employees,Company - Private,Media & Communication,2011,Publishing,Unknown / Non-Applicable
308,Junior Software Engineer לחברת הייטק מובילה עם 1500 עובדים,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: למשרת פיתוח ורסטילית דרוש/ה מפתח/ת Junior. יש כמה תקנים, פיתוח Net Server Web. ועבודה עם AWS, או פיתוח וורסטילי עם Net/C++/Java/Ruby. - דינאמי ומשתנה בהתאם לצורך יש פיתוחים מאפס ופטנטים שרשומים על הצוות. כ60% מחקר טכנולוגיות וכלים והשאר פיתוח, בנוסף Design, ארכיטקטורה. מדובר על חברת הייטק מובילה עולמית בתחומים של שיתוף מידע מאובטח בין ארגונים, שליטה ובקרה על פעילותם של משתמשים בעלי הרשאות גבוהות בארגון והגנה מפני התקפות סייבר. מונים למעלה מ 1500 עובדים, המשרה היא בצוות שאחראי על פיתוחים חדשים שמאפשרים למוצרים ליצור אותנטיקציות חדשות בפלטפורמות מגוונות. כל פעם מייצרים אותנטיקציה חכמה כדי להציע אבטחה גבוהה יותר. מאפשרים 2-3 ימי עבודה מהבית, נשמח להכיר אותך!",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
309,AI Prompt Engineer,Varonis,Herzliya,4.1 ,"Summary Data has never been more valuable and vulnerable. As cybercriminals become more sophisticated and regulations become stricter, organizations struggle to answer one key question: “Is my data safe?” At Varonis, we see the world of cybersecurity differently. Instead of chasing threats, we believe that the most practical approach is to protect data from the inside out. We’ve building the industry’s first fully autonomous data security platform to help our customers dramatically reduce risk with minimal human effort. At Varonis, we move fast. We’re an ultra-collaborative company with brilliant people who care deeply about the details. Together, we’re solving interesting and complex puzzles to keep the world’s data safe.",-1,0,4.1,4.1,4.1,3.9,4.0,1001 to 5000 Employees,Company - Public,Information Technology,2005,Software Development,$100 to $500 million (USD)
310,NOC Engineer- Student Position,Gong.io Inc.,Tel Aviv-Yafo,4.2 ,"As a NOC Student, you will: Ensure infrastructure and applications are monitored and that alerts and incidents are handled quickly and professionally. Measure and monitor the viability and stability of the systems and their core components. Perform proactive system monitoring. Confirming the integrity and availability of processes & pipelines. Troubleshooting and resolving application-related issues. You should apply if you are:",-1,0,3.9,4.1,4.3,4.0,3.9,1001 to 5000 Employees,Company - Private,Information Technology,2015,Enterprise Software & Network Solutions,Unknown / Non-Applicable
311,Junior Data Engineer בחברה מצליחה שעוסקת באבחון גנומי מתמונות ביופסיה,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: החברה פיתחה טכנולוגיה פורצת דרך המבוססת על מודלים חדשים של AI לקבלת אבחון גנומי מפורט מתמונת הביופסיה בלבד. הטכנולוגיה מזהה מגוון רחב של סמנים ביולוגיים (מוטציות/ באגים בגנים), שאינם ניתנים לזיהוי באבחון פתולוגי של עין אנושית. היום תהליך כזה של ריצוף גנטי לוקח זמן רב (שבועות ולעיתים חודשים), יקר מאוד ובעל מגבלות טכנולוגיות. בעזרת הטכנולוגיה שפיתחה החברה הצליחו לקצר את התהליך ל-2 דקות בלבד. החברה מונה קרוב ל-30 עובדים. ממוקמים בתל אביב ונמצאים מרחק הליכה מרכבת ומתחבורה ציבורית נגישה. משלבים מודל עבודה הבירידי. מהות התפקיד: פיתוח וניתוח Data אבל לא אלגוריתמיקה, כפיפות לראש צוות, קוד בPython ו-Node.js.",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
312,QA Engineers,BUFFERZONE Security,Herzliya,-1,"We are looking for motivated and talented people to join our team. If you are looking for a challenging position in a fast-paced start-up environment, please send your CV to us at careers@bufferzonesecurity.com.  BUFFERZONE’s QA team is responsible for verifying that all product releases meet the highest standards. As a member of the QA team, the QA engineer will be responsible for planning, writing and executing product test plans, both manual and automatic. The job requires a good understanding of the MS Windows environment, Windows applications, client-server systems, and security applications. Responsibilities",-1,0,2.0,2.0,2.0,2.0,5.0,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
313,Junior QA Engineer,Unleash,Tel Aviv-Yafo,3.7 ,"Unleash is powering the productivity revolution by providing users with a centralized way to search through their cloud based apps and local desktop. A light weight search interface allows users to enter their search query and receive relevant ranked results which are yielded in seconds. As a user centric company, we place a great deal of emphasis on users experience when building our product and have fun doing it!  We are a fresh and energetic startup, post round A in funding ($12M), led by a strong team of second timer founders and top angel investors and VCs from the Sillicon Valley and Tel Aviv. Our expanding team is made up of enthusiastic and dedicated members working together to revolutionize the productivity world. We believe that collaboration across teams - where everyone is accessible, from our newest hires to the founders - combined with a vested interest in our teams well being are the keys to our successful working environment.",-1,1,3.5,3.7,3.7,3.4,3.5,51 to 200 Employees,Company - Private,Media & Communication,2011,Publishing,Unknown / Non-Applicable
314,Manual QA Engineer,Imomony,Tel Aviv-Yafo,2.4 ,"We’re looking for magnificent, creative and curious Manual QA Engineer to join our great QA team Qualifications: If you have: 2-3 years of experience in Manual testing from Internet / Online companies In Client -experience / Server and Web security, Writing STP, STD and STR Documents Familiarity and experience with SQL Experience working in an Agile / Scrum – an advantage",-1,0,3.3,2.7,3.4,2.4,4.3,51 to 200 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
315,Intern - Software,NCR,Raanana,3.6 ,"About NCR NCR Corporation (NYSE: NCR) is a leader in transforming, connecting and running technology platforms for self-directed banking, stores and restaurants. NCR is headquartered in Atlanta, Ga., with 38,000 employees globally. NCR is a trademark of NCR Corporation in the United States and other countries. Software Engineer Junior: Purpose: Simple, made possible. Our next-gen platform architecture delivers the agility retailers need to compete in a world that increasingly prefers digital experiences. We are looking for talented intern SW engineering student who love tackling convoluted problems and coming up with clean, stable solutions that scale. You will be participating in building from scratch the next-gen retail solution as-a-service dealing with scalability, availability, cloud and edge computing.",-1,0,3.2,3.1,3.5,3.2,3.4,10000+ Employees,Company - Public,Information Technology,1884,Enterprise Software & Network Solutions,$5 to $10 billion (USD)
316,Core & Cloud integration Engineer,Ericsson,Rosh Ha`Ayin,4.2 ,"Our Exciting Opportunity: Ericsson is the world’s leading company in Cellular Networks. We are now looking for a cloud & Core Integration Engineer to analyze, prepare, and implement the configuration. Your scope of work will be in the most advanced technology and could include the scenarios of installations, upgrades and support.  You will: Plan the implementation of the product configuration / integration work   Familiar with Cellular network protocols",-1,0,3.3,3.8,4.0,3.4,3.8,10000+ Employees,Company - Public,Telecommunications,1876,Telecommunications Services,$10+ billion (USD)
